sample_name	animal_id	barcodeid	captive_wild	collection_timestamp	collector	common_name	corrected_species_name	country	dataset	description	diet_category_12	diet_category_3	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	group_id	group_individual_id	healthy	host_body_habitat	host_body_product	host_body_site	host_common_name	host_life_stage	host_scietific_nam	host_subject_id	latitude	life_stage	longitude	ncbi_taxon_id	oldsampleid	physical_specimen_location	physical_specimen_remaining	preservative	qiita_study_id	sample	sample_type	scientific_name	sex	species_name	taxon_id	taxonomy_species	class	order	family	genus
11166.NATL.24626.owl	215430.wisdom	24626	captive	10/22/2015	National Zoo	burrowing owl	Athene cunicularia	USA	National	NATL.24626.owl gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	burrowing owl	not collected	Athene cunicularia	natl.215430.wisdom	32.84	unknown	-117.25	194338	NATL.24626	UCSDMI	False	none	11166	NATL.24626	feces	gut metagenome	male	Athene cunicularia	749906	Athene cunicularia	Aves	Strigiformes	Strigidae	Athene
11166.NATL.24627.degu	114995-114999 or 115018	24627	captive	10/22/2015	National Zoo	degu	Octodon degus	USA	National	NATL.24627.degu gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	natl.degu.exh11	natl.degu.exh11.1	unknown	UBERON:feces	UBERON:feces	UBERON:feces	degu	not collected	Octodon degus		32.84	unknown	-117.25	10160	NATL.24627	UCSDMI	False	none	11166	NATL.24627	feces	gut metagenome	not collected	Octodon degus	749906	Octodon degus	Mammalia	Rodentia	Octodontidae	Octodon
11166.NATL.24628.owl	215826	24628	captive	10/22/2015	National Zoo	burrowing owl	Athene cunicularia	USA	National	NATL.24628.owl gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	burrowing owl	not collected	Athene cunicularia	natl.215826	32.84	unknown	-117.25	194338	NATL.24628	UCSDMI	False	none	11166	NATL.24628	feces	gut metagenome	female	Athene cunicularia	749906	Athene cunicularia	Aves	Strigiformes	Strigidae	Athene
11166.NATL.24629.chinchilla	115131 or 115132	24629	captive	10/22/2015	National Zoo	chinchilla	Chinchilla lanigera	USA	National	NATL.24629.chinchilla gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	natl.chinchilla.exh15	natl.chinchilla.exh15.2	unknown	UBERON:feces	UBERON:feces	UBERON:feces	chinchilla	not collected	Chinchilla lanigera		32.84	unknown	-117.25	34839	NATL.24629	UCSDMI	False	none	11166	NATL.24629	feces	gut metagenome	not collected	Chinchilla lanigera	749906	Chinchilla lanigera	Mammalia	Rodentia	Chinchillidae	Chinchilla
11166.NATL.24630.nakedmolerat		24630	captive	10/22/2015	National Zoo	naked mole rat	Heterocephalus glaber	USA	National	NATL.24630.nakedmolerat gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	natl.nakedmolerat.ColonyB	natl.nakedmolerat.ColonyB.2	unknown	UBERON:feces	UBERON:feces	UBERON:feces	naked mole rat	not collected	Heterocephalus glaber	natl.nakedcolony.b	32.84	unknown	-117.25	10181	NATL.24630	UCSDMI	False	none	11166	NATL.24630	feces	gut metagenome	not collected	Heterocephalus glaber	749906	Heterocephalus glaber	Mammalia	Rodentia	Bathyergidae	Heterocephalus
11166.NATL.24631.cavy	114080.paloma	24631	captive	10/22/2015	National Zoo	rock cavy	Kerodon rupestris	USA	National	NATL.24631.cavy gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	rock cavy	not collected	Kerodon rupestris	natl.114080.paloma	32.84	unknown	-117.25	181539	NATL.24631	UCSDMI	False	none	11166	NATL.24631	feces	gut metagenome	not collected	Kerodon rupestris	749906	Kerodon rupestris	Mammalia	Rodentia	Caviidae	Kerodon
11166.NATL.24632.shrew	Sam	24632	captive	10/20/2015	National Zoo	shorteared elephant shrew	Macroscelides proboscideus	USA	National	NATL.24632.shrew gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	shorteared elephant shrew	not collected	Macroscelides proboscideus	natl.sam	32.84	unknown	-117.25	29082	NATL.24632	UCSDMI	False	none	11166	NATL.24632	feces	gut metagenome	not collected	Macroscelides proboscideus	749906	Macroscelides proboscideus	Mammalia	Macroscelidea	Macroscelididae	Macroscelides
11166.NATL.24652.saki	110990 or 113859	24652	captive	10/20/2015	National Zoo	paleheaded saki	Pithecia pithecia	USA	National	NATL.24652.saki gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	natl.paleheadedsaki.exh33	natl.paleheadedsaki.exh33.1	unknown	UBERON:feces	UBERON:feces	UBERON:feces	paleheaded saki	not collected	Pithecia pithecia		32.84	unknown	-117.25	43777	NATL.24652	UCSDMI	False	none	11166	NATL.24652	feces	gut metagenome	not collected	Pithecia pithecia	749906	Pithecia pithecia	Mammalia	Primates	Pitheciidae	Pithecia
11166.NATL.24653.crane		24653	captive	10/21/2015	National Zoo	whooping crane	Grus americana	USA	National	NATL.24653.crane gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	natl.whoopingcrane.exh34	natl.whoopingcrane.exh34.2	unknown	UBERON:feces	UBERON:feces	UBERON:feces	whooping crane	not collected	Grus americana		32.84	unknown	-117.25	9117	NATL.24653	UCSDMI	False	none	11166	NATL.24653	feces	gut metagenome	not collected	Grus americana	749906	Grus americana	Aves	Gruiformes	Gruidae	Grus
11166.NATL.24654.phorse		24654	captive	10/23/2015	National Zoo	przewalski horse	Equus przewalskii	USA	National	NATL.24654.phorse gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	natl.przewalskihorse	natl.przewalskihorse.1	unknown	UBERON:feces	UBERON:feces	UBERON:feces	Przewalski horse	not collected	Equus przewalskii		32.84	unknown	-117.25	9798	NATL.24654	UCSDMI	False	none	11166	NATL.24654	feces	gut metagenome	not collected	Equus ferus przewalskii	749906	Equus przewalskii	Mammalia			
11166.NATL.24655.rat	114889 or 114890	24655	captive	10/20/2015	National Zoo	giant jumping rat	Hypogeomys antimena	USA	National	NATL.24655.rat gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	natl.giantjumpingrat	natl.giantjumpingrat.1	unknown	UBERON:feces	UBERON:feces	UBERON:feces	giant jumping rat	not collected	Hypogeomys antimena		32.84	unknown	-117.25	89379	NATL.24655	UCSDMI	False	none	11166	NATL.24655	feces	gut metagenome	not collected	Hypogeomys antimena	749906	Hypogeomys antimena	Mammalia	Rodentia	Nesomyidae	Hypogeomys
11166.NATL.24656.fox	115134 or 115174	24656	captive	10/20/2015	National Zoo	fennec fox	Vulpes zerda	USA	National	NATL.24656.fox gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	natl.fennecfox.exh3	natl.fennecfox.exh3.1	unknown	UBERON:feces	UBERON:feces	UBERON:feces	fennec fox	not collected	Vulpes zerda		32.84	unknown	-117.25	68732	NATL.24656	UCSDMI	False	none	11166	NATL.24656	feces	gut metagenome	not collected	Vulpes zerda	749906	Vulpes zerda	Mammalia	Carnivora	Canidae	Vulpes
11166.NATL.24657.b.kiwi		24657	captive	10/21/2015	National Zoo	brown kiwi	Apteryx australis mantelli	USA	National	NATL.24657.b.kiwi gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	natl.brownkiwi	natl.brownkiwi.1	unknown	UBERON:feces	UBERON:feces	UBERON:feces	brown kiwi	not collected	Apteryx australis mantelli		32.84	unknown	-117.25	202946	NATL.24657.b	UCSDMI	False	none	11166	NATL.24657	feces	gut metagenome	not collected	Apteryx mantelli	749906	Apteryx australis	Aves			
11166.NATL.24657.kiwi		24657	captive	10/21/2015	National Zoo	brown kiwi	Apteryx australis mantelli	USA	National	NATL.24657.kiwi gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	natl.brownkiwi	natl.brownkiwi.2	unknown	UBERON:feces	UBERON:feces	UBERON:feces	brown kiwi	not collected	Apteryx australis mantelli		32.84	unknown	-117.25	202946	NATL.24657	UCSDMI	False	none	11166	NATL.24657	feces	gut metagenome	not collected	Apteryx mantelli	749906	Apteryx australis	Aves			
11166.NATL.24658.armadillo	113608	24658	captive	10/20/2015	National Zoo	threebanded armadillo	Tolypeutes matacus	USA	National	NATL.24658.armadillo gut sample			True	193	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated			unknown	UBERON:feces	UBERON:feces	UBERON:feces	threebanded armadillo	not collected	Tolypeutes matacus	natl.113608	32.84	unknown	-117.25	183749	NATL.24658	UCSDMI	False	none	11166	NATL.24658	feces	gut metagenome	not collected	Tolypeutes matacus	749906	Tolypeutes matacus	Mammalia	Cingulata	Chlamyphoridae	Tolypeutes
